country_iso3,country,date,year,week_id,latitude,longitude,sine_seasonality,cosine_seasonality,temperature,relative_humidity,population,population_density,age_65_and_above,socioeconomic_development,government_effectiveness,individualism,uncertainty_avoidance,all_cause_mortality,covid_19_prevalence,covid_19_incidence,covid_19_mortality,covid_19_prevalence_original,covid_19_incidence_original,covid_19_mortality_original,covid_19_vaccine_doses_administered_cumulative,covid_19_vaccine_doses_administered,covid_19_policy_stringency,covid_19_face_covering_policy,covid_19_testing_tracing_policy,covid_19_variant_delta,covid_19_variant_omicron,S,influenza_like_illness_prevalence
IRN,Iran,2021-01-10,2021,45,32.0,53.0,0.0,1.0,0.8067857142857143,47.021428571428565,88133490.7328767,54.31956285539396,7.323075534160177,0.5719195445920306,0.007824564315542126,0.41,0.59,14.194654942099607,0.16582526062729683,0.13342366348888018,0.12108064336042981,0.007023872207511744,3535.348434908512,1.0479233500130796,0.0,0.0,0.7269,0.75,0.2222222222222222,0.0,0.0,0.9125957188927419,0.0
IRN,Iran,2021-01-17,2021,46,32.0,53.0,0.12053668025532305,0.992708874098054,5.031071428571429,44.54166666666667,88152140.55479452,54.331057352723896,7.327455813063949,0.5722935863377612,0.007818257788493876,0.41,0.59,14.00419765453848,0.16405396005512057,0.13012469788919973,0.1189900730788194,0.006874619421316551,3362.683317560679,1.0120490002035851,0.0,0.0,0.7744714285714286,0.75,0.2222222222222222,0.0,0.0,0.9112502635138983,0.0
IRN,Iran,2021-01-24,2021,47,32.0,53.0,0.23931566428755774,0.970941817426052,1.777261904761905,48.97857142857142,88170790.37671232,54.342551850053816,7.3318360919677215,0.5726676280834915,0.007811951261445682,0.41,0.59,14.278827543964065,0.1677075897618075,0.1373581365424136,0.11620269687481652,0.007184237139179484,3746.9274285212086,0.9651892862944638,0.0,0.0,0.7824,0.75,0.2222222222222222,0.0,0.0,0.9101444853264257,0.0
IRN,Iran,2021-01-31,2021,48,32.0,53.0,0.3546048870425356,0.9350162426854148,4.916428571428571,41.18333333333334,88189440.19863014,54.35404634738375,7.336216370871494,0.5730416698292222,0.007805644734397432,0.41,0.59,14.0018846311502,0.1730529652101779,0.1429354386042571,0.12039913832802664,0.007649504680570255,4057.3861109805125,1.0361600297972693,0.0,0.0,0.7982571428571428,0.75,0.2222222222222222,0.0,0.0,0.9085667602559641,0.0
IRN,Iran,2021-02-07,2021,49,32.0,53.0,0.4647231720437685,0.8854560256532099,7.264404761904762,53.57619047619047,88208090.02054794,54.36554084471368,7.340596649775267,0.573415711574953,0.007799338207349238,0.41,0.59,13.141721152548982,0.17834510532479472,0.14714284569613695,0.10817873406385778,0.008124518156859105,4299.765816573978,0.8364959979127314,0.0,0.0,0.8009000000000001,0.75,0.2222222222222222,0.0,0.0,0.9067055126824944,0.0
IRN,Iran,2021-02-14,2021,50,32.0,53.0,0.5680647467311558,0.8229838658936564,9.070714285714287,43.167857142857144,88226739.84246574,54.3770353420436,7.344976928679039,0.5737897533206833,0.007793031680300988,0.41,0.59,13.359756432195729,0.18424565295431003,0.15233805393256353,0.10356686186995762,0.00867101074386075,4608.7516654311985,0.766693377355183,8.35914373937937e-05,8.35914373937937e-05,0.8167571428571428,0.75,0.2222222222222222,0.0,0.0,0.9046784380898621,0.0
IRN,Iran,2021-02-21,2021,51,32.0,53.0,0.6631226582407952,0.7485107481711011,7.5960714285714275,46.285714285714285,88245389.66438356,54.38852983937353,7.349357207582812,0.5741637950664138,0.007786725153252794,0.41,0.59,13.598999156283229,0.18575497875968183,0.1501641118281644,0.11614985579953055,0.008813657101647807,4478.151729717432,0.9643116811256185,0.0002858589375521179,0.00020226750015832421,0.8194,0.75,0.2222222222222222,0.0,0.0,0.9024104071020643,0.0
IRN,Iran,2021-02-28,2021,52,32.0,53.0,0.7485107481711011,0.6631226582407953,2.7808333333333337,50.93452380952381,88264039.48630136,54.40002433670346,7.353737486486584,0.5745378368121445,0.007780418626204544,0.41,0.59,13.780845158500464,0.18631532300195686,0.14986085824769219,0.114648968959298,0.008866911458556137,4460.082907732234,0.939551055120721,0.0005876772349028627,0.00030181829735074475,0.8194,0.75,0.2222222222222222,0.0,0.0,0.9003927274458062,0.0
IRN,Iran,2021-03-07,2021,53,32.0,53.0,0.8229838658936564,0.5680647467311559,7.861309523809524,50.069047619047616,88282689.30821918,54.411518834033394,7.3581177653903564,0.5749118785578748,0.007774112099156294,0.41,0.59,13.871372184199142,0.18329797462640562,0.1445329046878055,0.13698317370361512,0.008582040440630318,4148.5847113522495,1.3412647952205299,0.0008893680133132297,0.00030169077841036705,0.8194,0.75,0.2222222222222222,0.0,0.0,0.8983826117889673,0.0
IRN,Iran,2021-03-14,2021,54,32.0,53.0,0.8854560256532099,0.4647231720437686,7.389880952380952,52.71190476190476,88301339.13013698,54.423013331363315,7.36249804429413,0.5752859203036056,0.0077678055721081,0.41,0.59,13.886839573350677,0.17765383425285516,0.13779205688472948,0.15306779110652302,0.008061658455744643,3770.6382354294838,1.6747412125878292,0.001190931353581729,0.0003015633402684994,0.8194,0.75,0.2222222222222222,0.0,0.0,0.8967268287831819,0.0
